[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[freeze] init-state params frozen: 15 keys
[run] seed=42 iters=20000 in_window_weight=19.0 delay=300 hold=50 -> runs/nln_lo10_seed042
step 4600, loss: 0.093430, sup_loss: 0.093430, acc: 0.4972, in_window: 0.4397, off_window: 0.3664, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4800, loss: 0.074810, sup_loss: 0.074810, acc: 0.5543, in_window: 0.4843, off_window: 0.3106, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5000, loss: 0.073446, sup_loss: 0.073446, acc: 0.7125, in_window: 0.5142, off_window: 0.3196, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5200, loss: 0.072375, sup_loss: 0.072375, acc: 0.7242, in_window: 0.5193, off_window: 0.3228, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5400, loss: 0.073836, sup_loss: 0.073836, acc: 0.7481, in_window: 0.5469, off_window: 0.3380, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5600, loss: 0.069661, sup_loss: 0.069661, acc: 0.7476, in_window: 0.5334, off_window: 0.3194, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5800, loss: 0.070095, sup_loss: 0.070095, acc: 0.7549, in_window: 0.5454, off_window: 0.3261, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6000, loss: 0.069542, sup_loss: 0.069542, acc: 0.7615, in_window: 0.5580, off_window: 0.3323, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6200, loss: 0.063137, sup_loss: 0.063137, acc: 0.7456, in_window: 0.5269, off_window: 0.2790, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6400, loss: 0.065380, sup_loss: 0.065380, acc: 0.7434, in_window: 0.5464, off_window: 0.2967, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6600, loss: 0.060921, sup_loss: 0.060921, acc: 0.7541, in_window: 0.5512, off_window: 0.2860, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6800, loss: 0.059918, sup_loss: 0.059918, acc: 0.7753, in_window: 0.5660, off_window: 0.2909, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
