[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[run] seed=42 iters=20000 in_window_weight=19.0 delay=300 hold=50 -> runs/seed042
step 4600, loss: 0.001287, sup_loss: 0.001287, acc: 0.9947, in_window: 0.7449, off_window: 0.2545, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4800, loss: 0.001167, sup_loss: 0.001167, acc: 0.9951, in_window: 0.7445, off_window: 0.2542, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5000, loss: 0.001100, sup_loss: 0.001100, acc: 0.9948, in_window: 0.7476, off_window: 0.2546, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5200, loss: 0.001090, sup_loss: 0.001090, acc: 0.9950, in_window: 0.7469, off_window: 0.2543, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5400, loss: 0.001055, sup_loss: 0.001055, acc: 0.9949, in_window: 0.7486, off_window: 0.2545, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5600, loss: 0.001099, sup_loss: 0.001099, acc: 0.9953, in_window: 0.7433, off_window: 0.2540, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5800, loss: 0.001042, sup_loss: 0.001042, acc: 0.9955, in_window: 0.7449, off_window: 0.2538, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6000, loss: 0.001157, sup_loss: 0.001157, acc: 0.9948, in_window: 0.7454, off_window: 0.2546, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6200, loss: 0.001113, sup_loss: 0.001113, acc: 0.9950, in_window: 0.7478, off_window: 0.2544, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6400, loss: 0.000984, sup_loss: 0.000984, acc: 0.9957, in_window: 0.7451, off_window: 0.2537, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
