[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[freeze] init-state params frozen: 15 keys
[run] seed=42 iters=40000 in_window_weight=19.0 delay=300 hold=50 -> runs/nln_lo10_seed042_40k
step 4600, loss: 0.069311, sup_loss: 0.069311, acc: 0.7564, in_window: 0.5387, off_window: 0.3215, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4800, loss: 0.068673, sup_loss: 0.068673, acc: 0.7563, in_window: 0.5399, off_window: 0.3104, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5000, loss: 0.066647, sup_loss: 0.066647, acc: 0.7414, in_window: 0.5408, off_window: 0.3118, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5200, loss: 0.062527, sup_loss: 0.062527, acc: 0.7961, in_window: 0.5907, off_window: 0.3064, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5400, loss: 0.050213, sup_loss: 0.050213, acc: 0.8433, in_window: 0.5824, off_window: 0.2691, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5600, loss: 0.060346, sup_loss: 0.060346, acc: 0.8134, in_window: 0.5805, off_window: 0.2791, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5800, loss: 0.040049, sup_loss: 0.040049, acc: 0.8567, in_window: 0.6116, off_window: 0.2177, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6000, loss: 0.048679, sup_loss: 0.048679, acc: 0.8508, in_window: 0.6337, off_window: 0.2454, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6200, loss: 0.043161, sup_loss: 0.043161, acc: 0.8817, in_window: 0.6375, off_window: 0.2059, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6400, loss: 0.030626, sup_loss: 0.030626, acc: 0.9145, in_window: 0.6628, off_window: 0.2050, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6600, loss: 0.028757, sup_loss: 0.028757, acc: 0.9158, in_window: 0.6794, off_window: 0.1961, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6800, loss: 0.028473, sup_loss: 0.028473, acc: 0.9195, in_window: 0.6635, off_window: 0.1927, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7000, loss: 0.028106, sup_loss: 0.028106, acc: 0.9170, in_window: 0.6790, off_window: 0.1789, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7200, loss: 0.025349, sup_loss: 0.025349, acc: 0.9211, in_window: 0.6696, off_window: 0.1724, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7400, loss: 0.027012, sup_loss: 0.027012, acc: 0.9181, in_window: 0.6625, off_window: 0.1726, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7600, loss: 0.025787, sup_loss: 0.025787, acc: 0.9209, in_window: 0.6851, off_window: 0.1706, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7800, loss: 0.019138, sup_loss: 0.019138, acc: 0.9365, in_window: 0.6720, off_window: 0.1529, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8000, loss: 0.023190, sup_loss: 0.023190, acc: 0.9224, in_window: 0.6580, off_window: 0.1525, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8200, loss: 0.029636, sup_loss: 0.029636, acc: 0.9092, in_window: 0.6460, off_window: 0.1543, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8400, loss: 0.019224, sup_loss: 0.019224, acc: 0.9366, in_window: 0.6775, off_window: 0.1527, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8600, loss: 0.019112, sup_loss: 0.019112, acc: 0.9403, in_window: 0.6899, off_window: 0.1541, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8800, loss: 0.019736, sup_loss: 0.019736, acc: 0.9356, in_window: 0.6889, off_window: 0.1507, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9000, loss: 0.016119, sup_loss: 0.016119, acc: 0.9474, in_window: 0.6917, off_window: 0.1475, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9200, loss: 0.015646, sup_loss: 0.015646, acc: 0.9518, in_window: 0.6988, off_window: 0.1497, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9400, loss: 0.015992, sup_loss: 0.015992, acc: 0.9484, in_window: 0.7000, off_window: 0.1479, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9600, loss: 0.016810, sup_loss: 0.016810, acc: 0.9437, in_window: 0.7006, off_window: 0.1470, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9800, loss: 0.013606, sup_loss: 0.013606, acc: 0.9542, in_window: 0.6873, off_window: 0.1369, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10000, loss: 0.014898, sup_loss: 0.014898, acc: 0.9549, in_window: 0.6998, off_window: 0.1476, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10200, loss: 0.013259, sup_loss: 0.013259, acc: 0.9630, in_window: 0.7182, off_window: 0.1481, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10400, loss: 0.013817, sup_loss: 0.013817, acc: 0.9530, in_window: 0.6915, off_window: 0.1365, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10600, loss: 0.010924, sup_loss: 0.010924, acc: 0.9696, in_window: 0.7093, off_window: 0.1376, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10800, loss: 0.017418, sup_loss: 0.017418, acc: 0.9505, in_window: 0.7171, off_window: 0.1527, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11000, loss: 0.011547, sup_loss: 0.011547, acc: 0.9646, in_window: 0.7143, off_window: 0.1354, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11200, loss: 0.014441, sup_loss: 0.014441, acc: 0.9535, in_window: 0.7107, off_window: 0.1401, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11400, loss: 0.013427, sup_loss: 0.013427, acc: 0.9602, in_window: 0.7145, off_window: 0.1381, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11600, loss: 0.012326, sup_loss: 0.012326, acc: 0.9613, in_window: 0.7072, off_window: 0.1360, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11800, loss: 0.010779, sup_loss: 0.010779, acc: 0.9654, in_window: 0.7116, off_window: 0.1302, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12000, loss: 0.011417, sup_loss: 0.011417, acc: 0.9677, in_window: 0.7209, off_window: 0.1316, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12200, loss: 0.010861, sup_loss: 0.010861, acc: 0.9667, in_window: 0.7197, off_window: 0.1330, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12400, loss: 0.008618, sup_loss: 0.008618, acc: 0.9752, in_window: 0.7242, off_window: 0.1290, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12600, loss: 0.009699, sup_loss: 0.009699, acc: 0.9680, in_window: 0.7064, off_window: 0.1267, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12800, loss: 0.009111, sup_loss: 0.009111, acc: 0.9709, in_window: 0.7076, off_window: 0.1241, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13000, loss: 0.008422, sup_loss: 0.008422, acc: 0.9750, in_window: 0.7242, off_window: 0.1258, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13200, loss: 0.009269, sup_loss: 0.009269, acc: 0.9743, in_window: 0.7266, off_window: 0.1298, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13400, loss: 0.011862, sup_loss: 0.011862, acc: 0.9644, in_window: 0.7202, off_window: 0.1341, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13600, loss: 0.009336, sup_loss: 0.009336, acc: 0.9727, in_window: 0.7212, off_window: 0.1274, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13800, loss: 0.008536, sup_loss: 0.008536, acc: 0.9744, in_window: 0.7340, off_window: 0.1286, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14000, loss: 0.009855, sup_loss: 0.009855, acc: 0.9718, in_window: 0.7297, off_window: 0.1325, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14200, loss: 0.010877, sup_loss: 0.010877, acc: 0.9641, in_window: 0.7057, off_window: 0.1254, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14400, loss: 0.007056, sup_loss: 0.007056, acc: 0.9800, in_window: 0.7304, off_window: 0.1241, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14600, loss: 0.008582, sup_loss: 0.008582, acc: 0.9757, in_window: 0.7400, off_window: 0.1320, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14800, loss: 0.008812, sup_loss: 0.008812, acc: 0.9727, in_window: 0.7154, off_window: 0.1213, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15000, loss: 0.015440, sup_loss: 0.015440, acc: 0.9510, in_window: 0.7111, off_window: 0.1334, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15200, loss: 0.007496, sup_loss: 0.007496, acc: 0.9781, in_window: 0.7268, off_window: 0.1235, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15400, loss: 0.007653, sup_loss: 0.007653, acc: 0.9787, in_window: 0.7278, off_window: 0.1270, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15600, loss: 0.007661, sup_loss: 0.007661, acc: 0.9768, in_window: 0.7299, off_window: 0.1248, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15800, loss: 0.007802, sup_loss: 0.007802, acc: 0.9777, in_window: 0.7336, off_window: 0.1265, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 16000, loss: 0.009991, sup_loss: 0.009991, acc: 0.9672, in_window: 0.7164, off_window: 0.1253, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
