[balanced_init] cortico-thalamic loop rho(M): 1.487 -> 1.107 (target 1.107, tau=7.0)
[run] seed=1337 iters=20000 in_window_weight=19.0 delay=300 hold=50 -> runs/seed1337
step 200, loss: 0.111433, sup_loss: 0.111433, acc: 0.5000, in_window: 0.2788, off_window: 0.2791, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 400, loss: 0.089867, sup_loss: 0.089867, acc: 0.5000, in_window: 0.3346, off_window: 0.3347, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 600, loss: 0.077210, sup_loss: 0.077210, acc: 0.5000, in_window: 0.3787, off_window: 0.3788, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 800, loss: 0.069667, sup_loss: 0.069667, acc: 0.5000, in_window: 0.4153, off_window: 0.4154, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1000, loss: 0.065607, sup_loss: 0.065607, acc: 0.5000, in_window: 0.4443, off_window: 0.4443, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1200, loss: 0.063682, sup_loss: 0.063682, acc: 0.5000, in_window: 0.4656, off_window: 0.4656, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1400, loss: 0.062889, sup_loss: 0.062889, acc: 0.5000, in_window: 0.4803, off_window: 0.4803, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1600, loss: 0.062609, sup_loss: 0.062609, acc: 0.5000, in_window: 0.4895, off_window: 0.4895, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 1800, loss: 0.062526, sup_loss: 0.062526, acc: 0.5000, in_window: 0.4949, off_window: 0.4949, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2000, loss: 0.062505, sup_loss: 0.062505, acc: 0.5000, in_window: 0.4978, off_window: 0.4978, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 2200, loss: 0.062501, sup_loss: 0.062501, acc: 0.5000, in_window: 0.4991, off_window: 0.4991, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
