,Input_0,Input_1,Adenosine_0,Cortex_0,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,SNc_0,SNc_1,SNc_2,SNc_3,GPe_0,GPe_1,GPe_2,GPe_3,GPe_4,GPe_5,STN_0,STN_1,STN_2,STN_3,STN_4,STN_5,SNr_0,SNr_1,SNr_2,SNr_3,SNr_4,SNr_5,Thalamus_0,Thalamus_1,Thalamus_2,Thalamus_3,Thalamus_4,Thalamus_5,Thalamus_6,Thalamus_7,Thalamus_8,Thalamus_9,Medulla_0,Medulla_1,Medulla_2,Medulla_3,Output_0
D2_5,0.000000,0.000000,0.608967,0.921475,0.000000,0.013568,0.656181,0.599606,0.000000,0.000000,0.000000,0.269265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.218106,-0.000000,-0.000000,-0.000000,-0.000000,-0.197982,-0.198560,-0.338337,-0.196012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SNc_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.396486,0.000000,0.322438,0.607983,0.000000,0.000000,0.135266,0.000000,-0.000000,-0.457879,-0.000000,-0.000000,-0.747678,-0.000000,-0.472084,-0.216726,-0.505216,-0.340426,-0.000000,-0.506455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.821606,0.477969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SNc_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340417,0.204302,0.229829,0.000000,0.144263,0.184748,-0.409742,-0.321192,-0.000000,-0.000000,-0.000000,-0.438693,-0.401566,-0.000000,-0.105846,-0.000000,-0.000000,-0.519823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.175158,0.000000,0.151614,0.279935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SNc_2,0.000000,0.000000,0.000000,0.000000,0.000000,0.178970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.283386,-0.000000,-0.000000,-0.232993,-0.338167,-0.499814,-0.000000,-0.155558,-0.000000,-0.000000,-0.442448,-0.145688,-0.246715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508592,0.341688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SNc_3,0.000000,0.000000,0.000000,0.227571,0.000000,0.000000,0.000000,0.215833,0.000000,0.000000,0.000000,0.347905,0.000000,-0.429514,-0.000000,-0.000000,-0.444381,-0.331967,-0.000000,-0.000000,-0.000000,-0.239940,-0.196563,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.797780,0.467864,0.271155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPe_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.332226,-0.284439,-0.084571,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.324683,-0.509766,-0.781431,-0.000000,-0.000000,0.020463,0.000000,0.509572,0.000000,0.000000,0.189144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPe_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.281558,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.611692,-0.000000,-0.618561,-0.000000,-0.000000,-0.499477,0.208933,0.756726,0.000000,0.000000,0.000000,0.190347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPe_2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.537332,-0.950588,-0.433679,-0.000000,-0.559259,0.000000,0.000000,0.000000,0.000000,-0.576229,-0.000000,-0.000000,-0.000000,-0.000000,-0.126800,0.669336,0.000000,0.000000,0.212594,0.143885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPe_3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.832567,-0.000000,-0.156879,-0.468050,-0.000000,-0.803590,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-1.020496,-0.648581,-0.000000,-0.267814,0.241238,0.428229,0.000000,0.230863,0.161447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPe_4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.128238,-0.122825,-0.057250,-0.273015,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.614329,-0.000000,-0.152626,-0.088237,-0.683557,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.458528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
