,Input_0,Adenosine_0,Cortex_0,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27,Cortex_28,Cortex_29,Cortex_30,Cortex_31,Cortex_32,Cortex_33,Cortex_34,Cortex_35,Cortex_36,Cortex_37,Cortex_38,Cortex_39,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,SNc_0,SNc_1,SNc_2,SNc_3,SNc_4,SNc_5,GPe_0,GPe_1,GPe_2,GPe_3,GPe_4,GPe_5,SNr_0,SNr_1,SNr_2,SNr_3,SNr_4,SNr_5,SNr_6,SNr_7,Thalamus_0,Thalamus_1,Thalamus_2,Thalamus_3,Thalamus_4,Thalamus_5,Thalamus_6,Thalamus_7,Thalamus_8,Thalamus_9,Thalamus_10,Thalamus_11,Thalamus_12,Thalamus_13,Thalamus_14,Thalamus_15,Thalamus_16,Thalamus_17,Thalamus_18,Thalamus_19,Medulla_0,Medulla_1,Medulla_2,Medulla_3,Output_0
Cortex_8,-0.011803,0.000000,0.356490,0.000000,0.069391,0.202372,0.133687,0.000000,0.000000,0.000000,0.000000,0.111605,0.000000,0.000000,0.055156,0.000000,0.000000,0.090736,0.149212,0.277188,0.110822,0.215063,-0.092490,-0.065331,-0.000000,-0.609624,-0.561104,-0.099298,-0.000000,-0.073646,-0.582022,-0.073998,-0.426665,-0.105466,-0.118705,-0.111805,-0.085206,-0.314369,-0.000000,-0.094860,-0.501444,-0.077273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289707,0.288085,0.267369,0.000000,0.244763,0.326997,0.262893,0.262029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_9,-0.004890,0.000000,0.343692,0.000000,0.202900,0.351449,0.382228,0.509532,0.000000,0.065702,0.381949,0.000000,0.000000,0.085670,0.000000,0.087903,0.304334,0.264844,0.268431,0.471817,0.219613,0.310895,-0.098733,-0.083309,-0.000000,-0.275216,-0.256289,-0.085872,-0.000000,-0.092299,-0.199245,-0.082078,-0.230671,-0.099400,-0.117735,-0.090153,-0.128600,-0.148936,-0.000000,-0.103715,-0.222604,-0.079033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.208225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_10,3.155383,0.000000,0.000000,0.238608,0.138041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.211816,-0.000000,-0.000000,-0.000000,-0.391830,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_11,3.126198,0.000000,0.000000,0.592470,0.000000,0.000000,0.011435,0.000000,0.020104,0.509994,0.000000,0.000000,0.719463,0.000000,0.641169,0.190751,0.000000,0.053206,0.036241,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_12,2.791026,0.000000,0.000000,0.310465,0.000000,0.000000,0.000000,0.000000,0.000000,0.200548,0.000000,0.000000,0.609168,0.249862,0.000000,0.047889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031762,-0.000000,-0.398846,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_13,3.046709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.542179,0.000000,0.000000,0.000000,0.000000,0.000000,0.130541,0.169688,0.000000,0.178362,0.000000,0.000000,0.000000,0.000000,0.153647,-0.000000,-0.020336,-0.345024,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_14,-0.013966,0.000000,0.000000,0.000000,0.000000,0.308337,0.000000,0.561298,0.000000,0.000000,0.091117,0.000000,0.000000,0.000000,0.000000,0.340629,0.000000,0.000000,0.000000,0.000000,0.017781,0.273810,-0.122332,-0.146079,-0.109332,-0.078189,-0.000000,-0.063515,-0.000000,-0.076887,-0.041598,-0.051702,-0.105320,-0.147644,-0.146616,-0.132516,-0.069233,-0.000000,-0.000000,-0.139697,-0.000000,-0.104774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_15,-0.009667,0.000000,0.000000,0.199723,0.271820,0.206125,0.000000,0.000000,0.302210,0.245132,0.429354,0.143416,0.000000,0.088514,0.057439,0.000000,0.051788,0.000000,0.270862,0.000000,0.275595,0.072655,-0.081942,-0.066220,-0.126315,-0.099739,-0.122622,-0.132991,-0.000000,-0.097411,-0.275796,-0.105081,-0.105307,-0.075159,-0.089990,-0.084179,-0.103565,-0.350131,-0.330675,-0.092521,-0.295478,-0.087576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_16,-0.014342,0.000000,0.360536,0.125709,0.096946,0.278572,0.375746,0.289745,0.277503,0.114877,0.393700,0.267144,0.058191,0.099708,0.020486,0.000000,0.000000,0.347817,0.000000,0.305317,0.331654,0.261542,-0.088504,-0.098772,-0.171505,-0.000000,-0.000000,-0.130214,-0.000000,-0.127371,-0.000000,-0.131581,-0.000000,-0.112080,-0.082760,-0.090176,-0.153395,-0.000000,-0.000000,-0.143041,-0.000000,-0.113667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_17,-0.013722,0.000000,0.262820,0.057336,0.091050,0.192479,0.265002,0.263514,0.208563,0.052493,0.390052,0.441732,0.000000,0.000000,0.000000,0.000000,0.135500,0.205059,0.270195,0.000000,0.000000,0.145407,-0.083185,-0.087587,-0.000000,-0.247924,-0.258331,-0.080703,-0.000000,-0.075915,-0.194625,-0.063004,-0.206289,-0.108911,-0.093334,-0.085565,-0.108569,-0.141741,-0.000000,-0.099136,-0.207866,-0.071469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
