[init=scratch] building fresh params from init_params (no Pavlovian bootstrap)
[balanced_init] cortico-thalamic loop rho(M): 1.701 -> 1.000 (target 1.0, tau=7.0)
Hybrid batch: inputs (100, 1000, 2) (2 cue channels: preparatory + go)
Training 10000 iters -> params_hybrid_scratch.pkl
step 3600, loss: 6.674628, reward: 0.0032, log_reward: -6.4561, success: 0.0032, entropy: 0.0517, brevity: 0.2100, norm_resp_time: 0.420, silence: 0.0045, tail: 0.0045, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3800, loss: 5.732105, reward: 0.0066, log_reward: -5.5085, success: 0.0066, entropy: 0.0438, brevity: 0.2167, norm_resp_time: 0.433, silence: 0.0037, tail: 0.0037, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4000, loss: 4.994701, reward: 0.0120, log_reward: -4.7668, success: 0.0120, entropy: 0.0371, brevity: 0.2222, norm_resp_time: 0.444, silence: 0.0030, tail: 0.0030, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4200, loss: 4.425915, reward: 0.0191, log_reward: -4.1945, success: 0.0191, entropy: 0.0314, brevity: 0.2267, norm_resp_time: 0.453, silence: 0.0025, tail: 0.0025, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4400, loss: 3.995636, reward: 0.0273, log_reward: -3.7614, success: 0.0273, entropy: 0.0266, brevity: 0.2305, norm_resp_time: 0.461, silence: 0.0020, tail: 0.0020, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4600, loss: 3.679065, reward: 0.0357, log_reward: -3.4424, success: 0.0357, entropy: 0.0224, brevity: 0.2335, norm_resp_time: 0.467, silence: 0.0017, tail: 0.0017, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4800, loss: 3.456992, reward: 0.0431, log_reward: -3.2184, success: 0.0431, entropy: 0.0189, brevity: 0.2360, norm_resp_time: 0.472, silence: 0.0014, tail: 0.0014, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5000, loss: 3.335029, reward: 0.0478, log_reward: -3.0951, success: 0.0478, entropy: 0.0165, brevity: 0.2377, norm_resp_time: 0.475, silence: 0.0012, tail: 0.0012, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5200, loss: 3.271113, reward: 0.0504, log_reward: -3.0304, success: 0.0504, entropy: 0.0149, brevity: 0.2388, norm_resp_time: 0.478, silence: 0.0010, tail: 0.0010, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5400, loss: 3.235557, reward: 0.0519, log_reward: -2.9942, success: 0.0519, entropy: 0.0138, brevity: 0.2396, norm_resp_time: 0.479, silence: 0.0010, tail: 0.0010, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
