Loading hybrid parameters from /home/dsvedberg/Documents/CodeVault/cbtModels/cbt_loop_noSCnoSTN/params_hybrid_scratch.pkl...
Dual cue→cortex weights B_cue_c ready (col 0 = timing, col 1 = Pavlovian/go).
Mixed batch: 100 STMT + 10 Pavlovian trials -> inputs (110, 1000, 2)
step 3600, loss: 1.842107, reward: 0.2283, log_reward: -1.5934, success: 0.2283, entropy: 0.0459, brevity: 0.2353, norm_resp_time: 0.471, silence: 0.0006, tail: 0.0133, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 3800, loss: 1.838231, reward: 0.2291, log_reward: -1.5920, success: 0.2291, entropy: 0.0468, brevity: 0.2324, norm_resp_time: 0.465, silence: 0.0006, tail: 0.0137, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4000, loss: 1.834693, reward: 0.2308, log_reward: -1.5898, success: 0.2308, entropy: 0.0475, brevity: 0.2309, norm_resp_time: 0.462, silence: 0.0006, tail: 0.0139, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4200, loss: 1.827107, reward: 0.2317, log_reward: -1.5825, success: 0.2317, entropy: 0.0484, brevity: 0.2302, norm_resp_time: 0.460, silence: 0.0006, tail: 0.0143, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4400, loss: 1.812071, reward: 0.2350, log_reward: -1.5659, success: 0.2350, entropy: 0.0479, brevity: 0.2319, norm_resp_time: 0.464, silence: 0.0006, tail: 0.0142, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4600, loss: 1.822367, reward: 0.2344, log_reward: -1.5746, success: 0.2344, entropy: 0.0478, brevity: 0.2334, norm_resp_time: 0.467, silence: 0.0006, tail: 0.0142, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4800, loss: 1.813894, reward: 0.2362, log_reward: -1.5653, success: 0.2362, entropy: 0.0482, brevity: 0.2340, norm_resp_time: 0.468, silence: 0.0006, tail: 0.0145, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5000, loss: 1.811528, reward: 0.2375, log_reward: -1.5636, success: 0.2375, entropy: 0.0486, brevity: 0.2332, norm_resp_time: 0.466, silence: 0.0006, tail: 0.0147, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5200, loss: 1.810713, reward: 0.2387, log_reward: -1.5639, success: 0.2387, entropy: 0.0500, brevity: 0.2315, norm_resp_time: 0.463, silence: 0.0006, tail: 0.0152, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5400, loss: 1.802508, reward: 0.2400, log_reward: -1.5568, success: 0.2400, entropy: 0.0509, brevity: 0.2300, norm_resp_time: 0.460, silence: 0.0006, tail: 0.0156, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5600, loss: 1.799330, reward: 0.2412, log_reward: -1.5488, success: 0.2412, entropy: 0.0502, brevity: 0.2350, norm_resp_time: 0.470, silence: 0.0005, tail: 0.0155, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5800, loss: 1.797987, reward: 0.2410, log_reward: -1.5491, success: 0.2410, entropy: 0.0507, brevity: 0.2331, norm_resp_time: 0.466, silence: 0.0005, tail: 0.0158, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
