[balanced_init] cortico-thalamic loop rho(M): 1.516 -> 1.107 (target 1.107, tau=7.0)
[supervised-thal] readout=thalamus  target 0.25->0.75 for 50 steps, opening 300 steps after cue onset
[supervised-thal] task=self-timed  inputs (100, 1000, 1)  loss=mse  iters=10000
step 4600, loss: 0.000676, sup_loss: 0.000676, acc: 0.9973, in_window: 0.7247, off_window: 0.2514, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 4800, loss: 0.000637, sup_loss: 0.000637, acc: 0.9975, in_window: 0.7310, off_window: 0.2514, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5000, loss: 0.000659, sup_loss: 0.000659, acc: 0.9972, in_window: 0.7267, off_window: 0.2512, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5200, loss: 0.000554, sup_loss: 0.000554, acc: 0.9980, in_window: 0.7304, off_window: 0.2511, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5400, loss: 0.000531, sup_loss: 0.000531, acc: 0.9980, in_window: 0.7337, off_window: 0.2513, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5600, loss: 0.000519, sup_loss: 0.000519, acc: 0.9980, in_window: 0.7327, off_window: 0.2511, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5800, loss: 0.000570, sup_loss: 0.000570, acc: 0.9975, in_window: 0.7300, off_window: 0.2511, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6000, loss: 0.000547, sup_loss: 0.000547, acc: 0.9973, in_window: 0.7344, off_window: 0.2513, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6200, loss: 0.000641, sup_loss: 0.000641, acc: 0.9970, in_window: 0.7166, off_window: 0.2511, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6400, loss: 0.000473, sup_loss: 0.000473, acc: 0.9981, in_window: 0.7345, off_window: 0.2511, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6600, loss: 0.000469, sup_loss: 0.000469, acc: 0.9979, in_window: 0.7328, off_window: 0.2510, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6800, loss: 0.000529, sup_loss: 0.000529, acc: 0.9975, in_window: 0.7304, off_window: 0.2509, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7000, loss: 0.000464, sup_loss: 0.000464, acc: 0.9978, in_window: 0.7352, off_window: 0.2510, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7200, loss: 0.000535, sup_loss: 0.000535, acc: 0.9971, in_window: 0.7347, off_window: 0.2511, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
