,Input_0,Cortex_0,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,D1_0,D1_1,D1_2,D1_3,D2_0,D2_1,D2_2,D2_3,SNc_0,SNc_1,SNc_2,SNc_3,GPe_0,GPe_1,GPe_2,GPe_3,STN_0,STN_1,STN_2,STN_3,SNr_0,SNr_1,SNr_2,SNr_3,SNr_4,SNr_5,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,Thalamus_0,Thalamus_1,Thalamus_2,Thalamus_3,Thalamus_4,Thalamus_5,Thalamus_6,Thalamus_7,Thalamus_8,Thalamus_9,Medulla_0,Medulla_1,Medulla_2,Medulla_3,Output_0
Thalamus_2,0.000000,0.527620,0.247858,0.085073,0.190350,0.119514,0.224184,0.242277,0.326933,0.164950,0.025606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.081294,-0.815289,-0.047746,-0.191365,-0.649598,-0.149568,0.248374,0.430941,0.196481,0.347935,0.617450,0.016390,0.074827,0.018734,0.758076,0.546773,0.128720,-0.376721,0.700661,-0.710302,-0.123267,-0.053687,0.000000,0.000000,0.000000,0.000000,0.000000
Thalamus_3,0.000000,0.330232,0.270942,0.005219,0.003398,0.001814,0.358695,0.022461,0.299921,0.166138,0.004662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.364664,-0.198628,-0.332411,-0.831812,-0.281919,-0.254243,0.009642,0.912149,0.018651,0.017616,0.700588,0.540595,-0.354913,-0.318690,-0.856265,0.179473,-0.521875,0.197595,0.315471,-0.783163,-0.650170,0.330040,0.000000,0.000000,0.000000,0.000000,0.000000
Thalamus_4,0.000000,0.144751,0.069156,0.156187,0.097101,0.066798,0.034478,0.058180,0.185800,0.187152,0.293479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.057764,-0.045599,-0.439215,-0.154153,-0.123727,-0.710967,0.032485,0.365763,1.213092,0.387724,0.029704,0.045069,0.084620,-0.249828,0.350677,-0.098425,0.443785,-0.238434,0.322315,-0.020642,0.264236,0.314554,0.000000,0.000000,0.000000,0.000000,0.000000
Thalamus_5,0.000000,0.037215,0.553260,0.053322,0.083859,0.029667,0.057174,0.282467,0.195413,0.177034,0.349116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377547,-0.639724,-0.271696,-1.181152,-0.514400,-0.650095,0.251270,0.359110,0.811495,0.190752,0.012066,0.369300,0.482508,-0.671337,-0.075835,-0.493577,0.188141,-0.350657,-0.690332,-0.090512,0.342881,0.844961,0.000000,0.000000,0.000000,0.000000,0.000000
Thalamus_6,0.000000,0.115005,0.010662,0.100068,0.109055,0.110070,0.254548,0.289400,0.145057,0.065606,0.245319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.459905,-0.600132,-0.526300,-0.964864,-0.333098,-0.258738,0.860743,0.129179,0.023550,0.499987,0.175235,0.281036,0.189523,0.552152,-0.481137,0.182700,-0.210137,-0.017382,-0.907697,0.776968,0.040296,-0.032498,0.000000,0.000000,0.000000,0.000000,0.000000
Thalamus_7,0.000000,0.009246,0.027977,0.202877,0.277369,0.359542,0.155621,0.045674,0.717772,0.001628,0.121340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.624852,-0.333013,-0.662418,-0.293904,-0.437228,-0.304123,0.582492,0.019948,0.020730,0.322181,0.689234,0.223472,-0.060963,0.162950,-0.384262,-0.134400,0.067754,-0.093328,-0.434231,0.079370,0.177612,-0.307104,0.000000,0.000000,0.000000,0.000000,0.000000
Thalamus_8,0.000000,0.053951,0.050180,0.285377,0.433763,0.320454,0.079117,0.126975,0.220679,0.109656,0.004004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.183318,-0.269026,-0.730061,-0.470031,-0.441697,-0.449863,0.742909,0.069011,0.235912,0.088514,0.088439,0.652475,-0.003792,-0.121426,-0.232397,-0.210478,0.158642,-0.362496,-0.494457,0.198408,0.277085,-0.307844,0.000000,0.000000,0.000000,0.000000,0.000000
Thalamus_9,0.000000,0.386883,0.267145,0.033691,0.415373,0.000640,0.255311,0.294159,0.006268,0.166418,0.005568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.573770,-0.693350,-0.371613,-0.682799,-0.589919,-0.181766,0.007386,0.000438,0.017218,0.111521,0.317441,0.025997,-0.283303,-1.069264,-0.133045,-0.136624,-0.496283,-0.629432,0.367586,-0.794926,0.659301,0.138282,0.000000,0.000000,0.000000,0.000000,0.000000
Medulla_0,0.000000,0.000024,-0.167255,0.000150,0.070669,-0.050607,-0.001428,-0.000024,0.230183,0.000050,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.684789,0.333612,0.363510,0.080770,0.486233,0.770500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.352604,0.000233,-1.851412,-0.665122,0.000000
Medulla_1,0.000000,-0.076002,1.164281,-0.003783,0.629766,0.394225,-0.824866,0.000123,0.182638,-0.041919,0.161941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169777,0.000025,0.353216,0.000003,0.426031,0.572044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000233,0.003612,-0.665122,-0.000004,0.000000
Medulla_2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.352380,1.612383,-0.000012,-0.972205,0.000000
Medulla_3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.612383,0.000007,-0.972205,-0.420309,0.000000
Output_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.230152,0.000036,0.000000,0.000000,0.000000
